anno_round	aid	docid	layer	category	sent_string	form	1. Goldstandard	2. Goldstandard	A1	A2	A3	A4	A5	A1_sent	A2_sent	A3_sent	A4_sent	A5_sent
1	0	1023_0101897.B1_tolabel	L	finiteness	"Julia Winkelmann Meier Müller Winkelsweg 12 CH 1234 Stadt X Computer-Spezialist Stadt Y , 20 . März 2010 Odenwaldstrasse 5 53119 Bonn Bewerbung aus Vertriebspraktikant Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" , habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	habe	f	0	f	f	f	f	f	"Julia Winkelmann Meier Müller Winkelsweg 12 CH 1234 Stadt X Computer-Spezialist Stadt Y , 20 . März 2010 Odenwaldstrasse 5 53119 Bonn Bewerbung aus Vertriebspraktikant Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" , habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	"Julia Winkelmann Meier Müller Winkelsweg 12 CH 1234 Stadt X Computer-Spezialist Stadt Y , 20 . März 2010 Odenwaldstrasse 5 53119 Bonn Bewerbung aus Vertriebspraktikant Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" , habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	"Julia Winkelmann Meier Müller Winkelsweg 12 CH 1234 Stadt X Computer-Spezialist Stadt Y , 20 . März 2010 Odenwaldstrasse 5 53119 Bonn Bewerbung aus Vertriebspraktikant Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" , habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	"Julia Winkelmann Meier Müller Winkelsweg 12 CH 1234 Stadt X Computer-Spezialist Stadt Y , 20 . März 2010 Odenwaldstrasse 5 53119 Bonn Bewerbung aus Vertriebspraktikant Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" , habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	"Julia Winkelmann Meier Müller Winkelsweg 12 CH 1234 Stadt X Computer-Spezialist Stadt Y , 20 . März 2010 Odenwaldstrasse 5 53119 Bonn Bewerbung aus Vertriebspraktikant Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" , habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."
1	0	1023_0101897.B1_tolabel	THB	finiteness	"Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	habe	f	0	f	f	f	f	f	"Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	"Sehr geehrt Damen und Herren In Ihrer Anzeige in der Zeitschrift "" Perfekt Deutsch "" habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	"Sehr geehrt Damen und Herren In Ihrer Anzeige in der Zeitschrift "" Perfekt Deutsch "" habe ich gelesen , dass Sie einen Vertriebspraktikanten suchen ."	"Sehr geehrt Damen und Herren , In Ihrer Anzeige in der Zeitschrift "" Perfekt Deutsch "" habe ich gelesen , dass Sie einen Vertriebspraktikanten suchen ."	"Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" , habe ich gelesen , dass Sie einen Vertriebspraktikant suchen ."
1	0	1023_0101897.B1_tolabel	L	inv	"Julia Winkelmann Meier Müller Winkelsweg 12 CH 1234 Stadt X Computer-Spezialist Stadt Y , 20 . März 2010 Odenwaldstrasse 5 53119 Bonn Bewerbung aus Vertriebspraktikant Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" , habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	habe	inv	0	inv	undef	inv	inv	undef	"Julia Winkelmann Meier Müller Winkelsweg 12 CH 1234 Stadt X Computer-Spezialist Stadt Y , 20 . März 2010 Odenwaldstrasse 5 53119 Bonn Bewerbung aus Vertriebspraktikant Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" , habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	"Julia Winkelmann Meier Müller Winkelsweg 12 CH 1234 Stadt X Computer-Spezialist Stadt Y , 20 . März 2010 Odenwaldstrasse 5 53119 Bonn Bewerbung aus Vertriebspraktikant Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" , habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	"Julia Winkelmann Meier Müller Winkelsweg 12 CH 1234 Stadt X Computer-Spezialist Stadt Y , 20 . März 2010 Odenwaldstrasse 5 53119 Bonn Bewerbung aus Vertriebspraktikant Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" , habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	"Julia Winkelmann Meier Müller Winkelsweg 12 CH 1234 Stadt X Computer-Spezialist Stadt Y , 20 . März 2010 Odenwaldstrasse 5 53119 Bonn Bewerbung aus Vertriebspraktikant Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" , habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	"Julia Winkelmann Meier Müller Winkelsweg 12 CH 1234 Stadt X Computer-Spezialist Stadt Y , 20 . März 2010 Odenwaldstrasse 5 53119 Bonn Bewerbung aus Vertriebspraktikant Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" , habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."
1	0	1023_0101897.B1_tolabel	THB	inv	"Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	habe	inv	0	inv	inv	inv	undef	undef	"Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	"Sehr geehrt Damen und Herren In Ihrer Anzeige in der Zeitschrift "" Perfekt Deutsch "" habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	"Sehr geehrt Damen und Herren In Ihrer Anzeige in der Zeitschrift "" Perfekt Deutsch "" habe ich gelesen , dass Sie einen Vertriebspraktikanten suchen ."	"Sehr geehrt Damen und Herren , In Ihrer Anzeige in der Zeitschrift "" Perfekt Deutsch "" habe ich gelesen , dass Sie einen Vertriebspraktikanten suchen ."	"Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" , habe ich gelesen , dass Sie einen Vertriebspraktikant suchen ."
1	0	1023_0101897.B1_tolabel	L	satztyp	"Julia Winkelmann Meier Müller Winkelsweg 12 CH 1234 Stadt X Computer-Spezialist Stadt Y , 20 . März 2010 Odenwaldstrasse 5 53119 Bonn Bewerbung aus Vertriebspraktikant Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" , habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	habe	dec	0	dec	undef	dec	dec	dec	"Julia Winkelmann Meier Müller Winkelsweg 12 CH 1234 Stadt X Computer-Spezialist Stadt Y , 20 . März 2010 Odenwaldstrasse 5 53119 Bonn Bewerbung aus Vertriebspraktikant Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" , habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	"Julia Winkelmann Meier Müller Winkelsweg 12 CH 1234 Stadt X Computer-Spezialist Stadt Y , 20 . März 2010 Odenwaldstrasse 5 53119 Bonn Bewerbung aus Vertriebspraktikant Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" , habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	"Julia Winkelmann Meier Müller Winkelsweg 12 CH 1234 Stadt X Computer-Spezialist Stadt Y , 20 . März 2010 Odenwaldstrasse 5 53119 Bonn Bewerbung aus Vertriebspraktikant Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" , habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	"Julia Winkelmann Meier Müller Winkelsweg 12 CH 1234 Stadt X Computer-Spezialist Stadt Y , 20 . März 2010 Odenwaldstrasse 5 53119 Bonn Bewerbung aus Vertriebspraktikant Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" , habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	"Julia Winkelmann Meier Müller Winkelsweg 12 CH 1234 Stadt X Computer-Spezialist Stadt Y , 20 . März 2010 Odenwaldstrasse 5 53119 Bonn Bewerbung aus Vertriebspraktikant Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" , habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."
1	0	1023_0101897.B1_tolabel	THB	satztyp	"Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	habe	dec	0	dec	dec	dec	undef	dec	"Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	"Sehr geehrt Damen und Herren In Ihrer Anzeige in der Zeitschrift "" Perfekt Deutsch "" habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	"Sehr geehrt Damen und Herren In Ihrer Anzeige in der Zeitschrift "" Perfekt Deutsch "" habe ich gelesen , dass Sie einen Vertriebspraktikanten suchen ."	"Sehr geehrt Damen und Herren , In Ihrer Anzeige in der Zeitschrift "" Perfekt Deutsch "" habe ich gelesen , dass Sie einen Vertriebspraktikanten suchen ."	"Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" , habe ich gelesen , dass Sie einen Vertriebspraktikant suchen ."
1	0	1023_0101897.B1_tolabel	L	sep	"Julia Winkelmann Meier Müller Winkelsweg 12 CH 1234 Stadt X Computer-Spezialist Stadt Y , 20 . März 2010 Odenwaldstrasse 5 53119 Bonn Bewerbung aus Vertriebspraktikant Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" , habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	habe	sep	0	sep	undef	sep	sep	undef	"Julia Winkelmann Meier Müller Winkelsweg 12 CH 1234 Stadt X Computer-Spezialist Stadt Y , 20 . März 2010 Odenwaldstrasse 5 53119 Bonn Bewerbung aus Vertriebspraktikant Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" , habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	"Julia Winkelmann Meier Müller Winkelsweg 12 CH 1234 Stadt X Computer-Spezialist Stadt Y , 20 . März 2010 Odenwaldstrasse 5 53119 Bonn Bewerbung aus Vertriebspraktikant Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" , habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	"Julia Winkelmann Meier Müller Winkelsweg 12 CH 1234 Stadt X Computer-Spezialist Stadt Y , 20 . März 2010 Odenwaldstrasse 5 53119 Bonn Bewerbung aus Vertriebspraktikant Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" , habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	"Julia Winkelmann Meier Müller Winkelsweg 12 CH 1234 Stadt X Computer-Spezialist Stadt Y , 20 . März 2010 Odenwaldstrasse 5 53119 Bonn Bewerbung aus Vertriebspraktikant Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" , habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	"Julia Winkelmann Meier Müller Winkelsweg 12 CH 1234 Stadt X Computer-Spezialist Stadt Y , 20 . März 2010 Odenwaldstrasse 5 53119 Bonn Bewerbung aus Vertriebspraktikant Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" , habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."
1	0	1023_0101897.B1_tolabel	THB	sep	"Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	habe	sep	0	sep	sep	sep	sep	undef	"Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	"Sehr geehrt Damen und Herren In Ihrer Anzeige in der Zeitschrift "" Perfekt Deutsch "" habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	"Sehr geehrt Damen und Herren In Ihrer Anzeige in der Zeitschrift "" Perfekt Deutsch "" habe ich gelesen , dass Sie einen Vertriebspraktikanten suchen ."	"Sehr geehrt Damen und Herren , In Ihrer Anzeige in der Zeitschrift "" Perfekt Deutsch "" habe ich gelesen , dass Sie einen Vertriebspraktikanten suchen ."	"Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" , habe ich gelesen , dass Sie einen Vertriebspraktikant suchen ."
1	0	1023_0101897.B1_tolabel	L	word_order	"Julia Winkelmann Meier Müller Winkelsweg 12 CH 1234 Stadt X Computer-Spezialist Stadt Y , 20 . März 2010 Odenwaldstrasse 5 53119 Bonn Bewerbung aus Vertriebspraktikant Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" , habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	habe	XVauxSVOcl	0	XVauxSVOcl	undef	XVauxSVOcl	_XVauxSVOcl	OXVauxSVOcl	"Julia Winkelmann Meier Müller Winkelsweg 12 CH 1234 Stadt X Computer-Spezialist Stadt Y , 20 . März 2010 Odenwaldstrasse 5 53119 Bonn Bewerbung aus Vertriebspraktikant Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" , habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	"Julia Winkelmann Meier Müller Winkelsweg 12 CH 1234 Stadt X Computer-Spezialist Stadt Y , 20 . März 2010 Odenwaldstrasse 5 53119 Bonn Bewerbung aus Vertriebspraktikant Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" , habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	"Julia Winkelmann Meier Müller Winkelsweg 12 CH 1234 Stadt X Computer-Spezialist Stadt Y , 20 . März 2010 Odenwaldstrasse 5 53119 Bonn Bewerbung aus Vertriebspraktikant Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" , habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	"Julia Winkelmann Meier Müller Winkelsweg 12 CH 1234 Stadt X Computer-Spezialist Stadt Y , 20 . März 2010 Odenwaldstrasse 5 53119 Bonn Bewerbung aus Vertriebspraktikant Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" , habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	"Julia Winkelmann Meier Müller Winkelsweg 12 CH 1234 Stadt X Computer-Spezialist Stadt Y , 20 . März 2010 Odenwaldstrasse 5 53119 Bonn Bewerbung aus Vertriebspraktikant Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" , habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."
1	0	1023_0101897.B1_tolabel	THB	word_order	"Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	habe	XVauxSVOcl	0	XVauxSVOcl	XVauxSVOcl	XVauxSVOcl	_XVauxSVOcl	OXVauxSVOcl	"Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	"Sehr geehrt Damen und Herren In Ihrer Anzeige in der Zeitschrift "" Perfekt Deutsch "" habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	"Sehr geehrt Damen und Herren In Ihrer Anzeige in der Zeitschrift "" Perfekt Deutsch "" habe ich gelesen , dass Sie einen Vertriebspraktikanten suchen ."	"Sehr geehrt Damen und Herren , In Ihrer Anzeige in der Zeitschrift "" Perfekt Deutsch "" habe ich gelesen , dass Sie einen Vertriebspraktikanten suchen ."	"Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" , habe ich gelesen , dass Sie einen Vertriebspraktikant suchen ."
1	17	1023_0101897.B1_tolabel	L	finiteness	"Julia Winkelmann Meier Müller Winkelsweg 12 CH 1234 Stadt X Computer-Spezialist Stadt Y , 20 . März 2010 Odenwaldstrasse 5 53119 Bonn Bewerbung aus Vertriebspraktikant Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" , habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	gelesen	nf	0	undef	nf	nf	nf	undef	"Julia Winkelmann Meier Müller Winkelsweg 12 CH 1234 Stadt X Computer-Spezialist Stadt Y , 20 . März 2010 Odenwaldstrasse 5 53119 Bonn Bewerbung aus Vertriebspraktikant Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" , habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	"Julia Winkelmann Meier Müller Winkelsweg 12 CH 1234 Stadt X Computer-Spezialist Stadt Y , 20 . März 2010 Odenwaldstrasse 5 53119 Bonn Bewerbung aus Vertriebspraktikant Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" , habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	"Julia Winkelmann Meier Müller Winkelsweg 12 CH 1234 Stadt X Computer-Spezialist Stadt Y , 20 . März 2010 Odenwaldstrasse 5 53119 Bonn Bewerbung aus Vertriebspraktikant Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" , habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	"Julia Winkelmann Meier Müller Winkelsweg 12 CH 1234 Stadt X Computer-Spezialist Stadt Y , 20 . März 2010 Odenwaldstrasse 5 53119 Bonn Bewerbung aus Vertriebspraktikant Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" , habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."	"Julia Winkelmann Meier Müller Winkelsweg 12 CH 1234 Stadt X Computer-Spezialist Stadt Y , 20 . März 2010 Odenwaldstrasse 5 53119 Bonn Bewerbung aus Vertriebspraktikant Sehr geehrt Damen und Herren In Ihre Anzeiger in der Zeitschrift "" Perfekt Deutsch "" , habe ich gelesen , dass Sie ein Vertriebspraktikant suchen ."
